Date/Time, Temperature A, Temperature B, Damper 
02/20/2018 11:36:14, 20.62029, 21.95651, 30
02/20/2018 12:36:16, 20.71197, 22.02041, 30
02/20/2018 13:36:19, 20.82864, 22.08152, 30
02/20/2018 14:36:26, 20.84254, 22.10652, 30
02/20/2018 15:36:29, 20.96755, 22.15375, 30
02/20/2018 16:36:34, 21.03144, 22.20098, 30
02/20/2018 17:36:36, 21.06755, 22.27043, 30
02/20/2018 18:36:39, 21.01755, 22.24265, 30
02/20/2018 19:36:43, 21.10089, 22.2871, 30
02/20/2018 20:36:48, 21.15923, 22.32044, 30
02/20/2018 21:36:54, 21.17034, 22.36487, 30
02/20/2018 22:36:59, 21.23701, 22.42599, 30
02/20/2018 23:37:02, 21.31479, 22.45099, 30
02/21/2018 00:37:05, 21.32591, 22.49267, 30
02/21/2018 01:37:12, 21.40647, 22.55934, 30
02/21/2018 02:37:19, 21.46203, 22.60656, 30
02/21/2018 03:37:26, 21.48981, 22.64267, 30
02/21/2018 04:37:31, 21.53981, 22.75936, 30
02/21/2018 05:37:34, 21.59815, 22.62045, 30
02/21/2018 06:37:39, 21.62315, 22.75658, 30
02/21/2018 07:37:40, 21.73427, 22.80936, 30
02/21/2018 08:37:41, 21.7815, 22.84547, 30
02/21/2018 09:37:41, 21.82039, 22.88714, 30
02/21/2018 10:37:45, 21.88151, 22.88714, 30
02/21/2018 11:37:49, 21.99263, 22.99271, 30
02/21/2018 12:37:53, 22.01763, 23.03993, 20.83333
02/21/2018 13:37:58, 22.01207, 23.07327, 20
02/21/2018 14:38:01, 22.07874, 23.12049, 20
02/21/2018 15:38:05, 22.10652, 23.11771, 20
02/21/2018 16:38:09, 22.17597, 23.19828, 14.16667
02/21/2018 17:38:12, 22.2232, 23.18717, 10
02/21/2018 18:38:14, 22.24542, 23.24273, 10
02/21/2018 19:38:15, 22.26765, 23.31495, 10
02/21/2018 20:38:24, 22.34821, 23.32051, 10
02/21/2018 21:38:28, 22.47044, 23.35107, 10
02/21/2018 22:38:33, 22.48711, 23.38719, 10
02/21/2018 23:38:38, 22.501, 23.42608, 10
02/22/2018 00:38:42, 22.50378, 23.45386, 10
02/22/2018 01:38:43, 22.55101, 23.49275, 10
02/22/2018 02:38:48, 22.58434, 23.62331, 10
02/22/2018 03:38:53, 22.62879, 23.5872, 10
02/22/2018 04:38:53, 22.68157, 23.63998, 10
02/22/2018 05:38:53, 22.74547, 23.73165, 10
02/22/2018 06:39:02, 22.7788, 23.74554, 10
02/22/2018 07:39:12, 22.79825, 23.76777, 10
02/22/2018 08:39:14, 22.83991, 23.85945, 10
02/22/2018 09:39:18, 22.8927, 23.87611, 10
02/22/2018 10:39:24, 23.01216, 23.93723, 10
02/22/2018 11:39:24, 23.08715, 23.90945, 10
02/22/2018 12:39:34, 23.1066, 24.05668, 10
02/22/2018 13:39:37, 23.2205, 24.00389, 10
02/22/2018 14:39:43, 23.18439, 24.12891, 10
02/22/2018 15:39:46, 23.28717, 24.14557, 10
02/22/2018 16:39:54, 23.24273, 24.17335, 10
02/22/2018 17:40:00, 23.32051, 24.17891, 10
02/22/2018 18:40:07, 23.27328, 24.23725, 10
02/22/2018 19:40:14, 23.3344, 24.27059, 10
02/22/2018 20:40:16, 23.38719, 24.32337, 10
02/22/2018 21:40:17, 23.42052, 24.34837, 10
02/22/2018 22:40:17, 23.43441, 24.40115, 10
02/22/2018 23:40:18, 23.45663, 24.39837, 10
02/23/2018 00:40:21, 23.51219, 24.42615, 10
02/23/2018 01:40:28, 23.52886, 24.47615, 10
