Date/Time, Zone, Temperature, Damper
02/18/2018 05:32:03, 1, 18.98683, 30
02/18/2018 06:32:06, 1, 19.07573, 30
02/18/2018 07:32:10, 1, 19.12295, 30
02/18/2018 08:32:15, 1, 19.25074, 30
02/18/2018 09:32:23, 1, 19.27574, 30
02/18/2018 10:32:25, 1, 19.31741, 30
02/18/2018 11:32:30, 1, 19.38131, 30
02/18/2018 12:32:31, 1, 19.42575, 30
02/18/2018 13:32:36, 1, 19.54243, 30
02/18/2018 14:32:39, 1, 19.59244, 30
02/18/2018 15:32:47, 1, 19.66744, 30
02/18/2018 16:32:57, 1, 19.71466, 30
02/18/2018 17:32:59, 1, 19.73133, 30
02/18/2018 18:32:59, 1, 19.82579, 30
02/18/2018 19:33:04, 1, 19.87579, 30
02/18/2018 20:33:07, 1, 19.92857, 30
02/18/2018 21:33:12, 1, 20.0008, 30
02/18/2018 22:33:13, 1, 20.05636, 30
02/18/2018 23:33:18, 1, 20.06747, 30
02/19/2018 00:33:22, 1, 20.17304, 30
02/19/2018 01:33:24, 1, 20.21471, 30
02/19/2018 02:33:26, 1, 20.23693, 30
02/19/2018 03:33:28, 1, 20.29805, 30
02/19/2018 04:33:30, 1, 20.38139, 30
02/19/2018 05:33:31, 1, 20.42305, 30
02/19/2018 06:33:34, 1, 20.45362, 30
02/19/2018 07:33:40, 1, 20.58973, 30
02/19/2018 08:33:42, 1, 20.6064, 30
02/19/2018 09:33:44, 1, 20.63974, 30
02/19/2018 10:33:52, 1, 20.70364, 30
02/19/2018 11:34:01, 1, 20.77031, 30
02/19/2018 12:34:04, 1, 20.84809, 30
02/19/2018 13:34:13, 1, 20.88143, 30
02/19/2018 14:34:15, 1, 20.99533, 30
02/19/2018 15:34:15, 1, 21.00921, 30
02/19/2018 16:34:16, 1, 21.06199, 30
02/19/2018 17:34:24, 1, 21.08699, 30
